code,name,price,open,change_pct,volume,market_cap,market
1240,茂生農經,59.5,59.5,0.34,9025,2631814472,OTC
1259,安心,62.0,61.6,0.81,14002,2008149000,OTC
1264,德麥,284.5,283.5,0.35,23100,10541398696,OTC
1268,漢來美食,161.0,160.0,-0.31,38015,6798020530,OTC
1336,台翰,15.55,15.6,0.0,66065,1206904230,OTC
1565,精華,112.0,113.5,-1.32,164024,5646649792,OTC
1569,濱川,50.4,51.2,-1.37,645239,7270071296,OTC
1570,力肯,31.8,31.65,0.0,169001,1637731760,OTC
1580,新麥,129.5,129.5,0.0,47061,6389431839,OTC
1584,精剛,23.6,23.55,0.21,679513,5308879888,OTC
1586,和勤,24.7,25.0,-0.2,251024,2501998112,OTC
1591,駿吉-KY,50.5,50.9,-0.59,190002,1921426424,OTC
1593,祺驊,29.1,29.25,-0.51,5050,1157743515,OTC
1595,川寶,39.95,41.05,-2.68,178001,2154064091,OTC
1599,宏佳騰,26.05,25.65,-0.76,22302,1876355395,OTC
1742,台蠟,16.6,16.35,1.84,261112,1538343615,OTC
1777,生泰,71.1,71.1,-0.14,68000,3170491131,OTC
1781,合世,12.4,12.45,-1.59,71003,587854221,OTC
1784,訊聯,91.4,95.3,-4.19,428519,4597968476,OTC
1785,光洋科,60.1,61.0,-0.5,3553746,35819733954,OTC
1788,杏昌,136.5,136.0,0.37,14008,6077116500,OTC
1796,金穎生技,43.75,43.6,0.34,8000,1813875000,OTC
1799,易威,32.75,32.65,2.34,183000,4083597500,OTC
1813,寶利徠,13.4,13.25,1.13,37100,624908982,OTC
1815,富喬,96.6,89.5,9.9,79217041,56054253448,OTC
2035,唐榮,28.05,28.05,-1.23,1002,9817499732,OTC
2061,風青,18.2,18.1,0.83,113001,1044280590,OTC
2063,世鎧,26.75,26.85,-0.37,19000,1286660367,OTC
2064,晉椿,12.2,12.1,2.95,30000,845825986,OTC
2065,世豐,31.65,32.0,-1.09,78003,2032434444,OTC
2066,世德,53.2,50.8,5.77,61125,2350882870,OTC
2067,嘉鋼,10.6,10.35,0.95,109000,478462817,OTC
2070,精湛,39.5,39.8,-0.75,66026,1454393318,OTC
2073,雄順,25.55,25.55,0.0,1000,702624979,OTC
2221,大甲,30.35,30.5,1.0,31000,1284563766,OTC
2230,泰茂,55.8,55.8,-10.0,103312,3796073948,OTC
2235,謚源,35.95,35.95,0.0,0,1289814127,OTC
2596,綠意,33.4,32.7,0.3,184060,3340000152,OTC
2640,大車隊,124.0,125.0,0.0,58157,7348860000,OTC
2641,正德,19.65,19.4,1.55,1991804,6426001825,OTC
2643,捷迅,73.2,72.2,0.97,17017,2561999893,OTC
2718,晶悅,48.4,48.35,0.31,20010,4220334933,OTC
2719,燦星旅,28.35,28.9,-1.9,34000,1955271176,OTC
2724,藝舍-KY,20.0,20.0,0.0,0,1193126920,OTC
2726,雅茗-KY,12.1,12.15,0.0,107000,456042419,OTC
2729,瓦城,171.5,171.0,0.0,13147,7311693784,OTC
2732,六角,66.2,66.5,-0.45,28085,2958846597,OTC
2734,易飛網,17.8,18.5,-0.28,174021,1019223684,OTC
2736,富野,13.9,13.85,0.0,251040,1111613966,OTC
2740,天蔥,42.25,44.4,-5.48,19047,604260176,OTC
2743,山富,78.7,78.3,0.13,283300,3684356884,OTC
2745,五福,105.5,104.5,0.48,127001,3566849500,OTC
2752,豆府,208.5,209.5,-0.48,12055,5565670227,OTC
2754,亞洲藏壽司,77.9,78.5,0.52,10020,3650939371,OTC
2755,揚秦,116.0,116.0,0.0,18100,4292698320,OTC
2756,聯發國際,81.0,80.9,0.12,37000,1991918385,OTC
2916,滿心,45.9,45.9,0.0,56098,2966373844,OTC
2924,宏太-KY,19.75,19.75,-0.25,1250,1027709696,OTC
2926,誠品生活,37.55,38.0,-2.21,17000,1779494463,OTC
2937,集雅社,44.45,41.2,1.02,11729,1935440866,OTC
2941,米斯特,42.85,42.85,-1.72,2000,659461476,OTC
2947,振宇五金,80.3,81.7,-0.74,20001,1726085503,OTC
2948,寶陞,39.9,38.35,4.18,8003,1236900047,OTC
2949,欣新網,64.4,64.4,0.0,0,1941086885,OTC
3064,泰偉,48.75,48.75,0.93,1000,634310625,OTC
3066,李洲,15.1,15.1,0.0,70000,1254357031,OTC
3067,全域,18.5,18.15,2.49,2000,370000000,OTC
3071,協禧,23.0,23.25,-0.65,145030,2530000000,OTC
3073,天方能源,30.75,33.6,-5.53,642400,1312161232,OTC
3078,僑威,61.4,62.7,-1.29,1534700,13961811676,OTC
3081,聯亞,1085.0,1130.0,-3.12,387715,100385694045,OTC
3083,網龍,31.0,31.95,-3.58,383453,2681066000,OTC
3085,新零售,13.05,13.05,0.0,1000,900701734,OTC
3086,華義,227.0,238.0,-4.62,221844,6190528804,OTC
3088,艾訊,81.1,82.1,-1.7,318602,8741363335,OTC
3093,港建*,26.1,26.45,0.0,91000,3788571655,OTC
3095,及成,31.25,31.2,-0.64,28812,312500000,OTC
3105,穩懋,246.0,255.5,-3.72,31460581,104289334710,OTC
3114,好德,25.65,25.35,0.79,79008,1652624165,OTC
3115,富榮綱,10.0,10.05,-2.44,43003,726976160,OTC
3118,進階,32.85,32.85,0.0,12004,1066077715,OTC
3122,笙泉,25.35,26.0,-2.31,174074,1033388380,OTC
3128,昇銳,26.05,26.15,-0.76,134196,1232607813,OTC
3131,弘塑,1530.0,1530.0,-0.65,358115,43935480000,OTC
3141,晶宏,44.9,46.25,-1.1,226000,3339964200,OTC
3147,大綜,170.0,182.0,-5.29,1422492,7426761270,OTC
3152,璟德,144.0,142.0,1.77,265000,9938332800,OTC
3162,精確,59.9,59.2,1.87,1107053,8159392218,OTC
3163,波若威,589.0,565.0,3.88,1410227,47438649000,OTC
3169,亞信,94.6,95.1,-1.66,111255,5969920306,OTC
3171,新洲,49.4,49.75,0.71,41313,1636037055,OTC
3176,基亞,31.7,32.2,-1.4,585005,4416032006,OTC
3178,公準,54.0,55.0,-1.82,105000,2432700000,OTC
3188,鑫龍騰,30.4,30.0,1.33,416140,5663823928,OTC
3191,雲嘉南,15.25,15.7,-1.93,27545,664860060,OTC
3205,佰研,50.2,49.45,4.58,240002,3390809251,OTC
3206,志豐,31.8,32.0,0.0,19002,1873560555,OTC
3207,耀勝,62.1,63.0,-2.36,777051,4002265227,OTC
3211,順達,280.0,281.0,0.0,2704827,43258460000,OTC
3213,茂訊,96.7,97.0,-0.41,215002,5674887670,OTC
3217,優群,154.0,153.0,0.65,638191,13876047416,OTC
3218,大學光,135.5,140.5,-4.24,708746,11480223814,OTC
3219,倚強科,68.3,69.0,-0.73,2102911,4869577121,OTC
